payment_id,policy_id,payment_date,amount,payment_method
TOPCDGA,P00000,2023-07-14,2009.85,card
TN3WMVW,P00000,2024-01-14,2582.64,card
T38PE5L,P00000,2023-06-21,2439.82,ach
TF9YXSR,P00000,2023-03-19,2566.02,ach
THA29OL,P00000,2023-11-05,2417.96,ach
TOZ2TA2,P00001,2024-09-30,3137.53,ach
T0OVMYX,P00001,2024-07-23,2978.05,ach
T6J0FUG,P00001,2024-07-21,3329.49,card
TRSZ4ZE,P00001,2024-06-05,3143.87,ach
TI88HSM,P00002,2026-01-13,2681.77,ach
TA6YD7Z,P00002,2025-09-16,2495.45,ach
TV6XNQY,P00003,2023-03-03,3789.11,ach
TH2JX49,P00003,2023-05-08,3570.21,ach
TPNFORU,P00003,2023-02-04,3821.52,ach
TMPI166,P00004,2023-09-19,3383.11,card
TQMPY3Z,P00004,2024-04-07,3439.46,ach
T1HYHZF,P00004,2024-04-08,3667.41,ach
TC6BQ2Z,P00005,2025-07-16,2585.27,card
TA5EU3U,P00005,2025-05-25,2641.59,ach
TP1KFVN,P00005,2025-07-16,2025.66,card
TASKKEA,P00005,2024-12-23,2267.23,card
TEPSWOY,P00006,2024-02-17,2653.58,ach
TMHCHJC,P00006,2024-08-09,2895.1,card
T1DCXYG,P00006,2023-11-06,2709.96,card
TSCGF1Y,P00007,2025-12-25,1828.74,ach
TS3DF1Q,P00007,2025-11-18,1354.39,check
T74XECR,P00007,2025-03-27,1659.39,ach
TRWYQRQ,P00007,2025-06-28,1371.91,ach
TORS26D,P00007,2025-12-06,2023.36,card
T19MVC2,P00008,2025-09-16,1767.59,card
TAT4ROK,P00008,2025-08-31,1446.11,check
TGAUK2W,P00008,2025-04-02,1204.65,card
T89VP1L,P00008,2025-09-21,1628.31,ach
TF6CVPY,P00009,2024-04-25,2465.86,check
TF81D5C,P00009,2024-06-17,2696.12,ach
TCYNGCW,P00009,2024-05-08,2091.66,card
T6YST2I,P00009,2024-06-26,1873.25,ach
TZNUHAO,P00009,2024-04-18,2401.85,card
T4PP6RM,P00010,2025-06-16,5353.12,ach
TYULWAV,P00010,2024-12-21,5226.08,card
TDUFQO2,P00011,2024-06-07,8233.15,ach
TVR7T7Z,P00012,2023-07-18,9155.41,ach
T3LIWRJ,P00013,2025-07-13,7207.48,ach
TIV2XW2,P00014,2025-02-09,5360.81,check
T7TRP69,P00014,2024-12-27,5213.43,ach
TQG2LT8,P00015,2025-03-07,8847.06,card
T30EL98,P00016,2023-11-05,2380.28,card
TH0FYNH,P00016,2023-10-08,1736.19,ach
